# Config file for Instrumental polarisation figues for Ringo 2 Grb sample
# Used with polcalc_r2sample and r2grb_plot
# Data obtained with the following line, taking all sources in zpol fields above 500 counts within 2 nights either side of the GRB
# grabdat "SELECT count(p), AVG (a1 / (S1 /8)), AVG (b1 / (S1 /8)), AVG (c1 / (S1 /8)), AVG (d1 / (S1 /8)), AVG (a2 / (S1 /8)), AVG (b2 / (S1 /8)), AVG (c2 / (S1 /8)), AVG (d2 / (S1 /8)) from photdata,obs  where obs_id=obs_id_link and object like '%zpol%' and S1 > 500 and abs (date - 20101112) < 3"
#
# date	a1/(s1/8)	b1/(s1/8)	c1/(s1/8)	d1/(s1/8)	a2/(s1/8)	b2/(s1/8)	c2/(s1/8)	d2/(s1/8)

20100805	1.007345353717336	0.983169157539944	1.018478647883190	1.005685988514412	1.007373558270201	0.963749094580697	1.000780674667176	1.013417508607195	
20101112	0.972199681843711	1.024985567746767	1.027237225192796	0.978063227970163	0.973709120753215	1.015566867362928	1.023376809411155	0.984861505373303
20110205	0.976144066293456	1.018296180588892	1.030596389754390	0.983151644482981	0.979135559134051	1.003603142248598	1.021257185259371	0.987815832238262
# 20110205doubecheck	0.939697490407300	1.014533966710729	1.047120337151261	0.988418014760078	0.956812032264375	1.001209009068492	1.054312052716484	0.997897096921280
# 20110205original	0.956671063123507	1.017699365438187	1.046950142698559	0.981319067189938	0.956405189902123	0.993593401165901	1.047446336390673	0.999915443470199
20110726	1.023259570749955	1.030221048385630	0.979518701319551	0.971641584345346	1.024767068557996	1.017678025948596	0.977096648611321	0.975817350642564
20120119	1.030314088421170	1.035614481559182	0.971365827255551	0.973974471058091	1.028100667734613	1.021557415581385	0.968209358198173	0.970863694574052
20120311	1.024790877959316	1.024513751801305	0.976070646329571	0.968641813252377	1.026988959815291	1.016617300769803	0.979924669177237	0.982451962136275
20120326	1.017414851501240	1.017360628666467	0.986175962773855	0.971322019768913	1.031486071205836	1.022435124734459	0.970374139150231	0.983431244438353
20120327	1.022844921532643	1.021970048604409	0.981122821543722	0.970250052672064	1.025568136654847	1.019410423299312	0.971454014854813	0.987379610494553
