# id routmount q u
149	0.54	0.0111552	0.0034651
150	0.54	0.0070952	0.0351295
151	0.54	-0.0025725	0.0109266
152	0.77	0.0007156	0.0063459
153	0.77	-0.0045902	0.0085872
154	0.77	0.0013038	-0.0003036
155	0.77	-0.0013584	0.0031195
156	0.77	-0.0025101	0.0058425
157	0.77	0.0143654	0.0080621
158	0.77	0.0210426	0.0022982
159	0.77	-0.0090422	0.0208839
160	0.77	0.0016506	0.0158932
161	0.77	-0.0076985	0.0024046
162	0.77	-0.0036391	0.0023457
163	0.77	-0.0074552	0.0049868
164	0.77	-0.0136085	0.0005217
165	0.77	0.0110159	0.0143104
166	0.38	0.0100155	0.0796567
167	0.38	-0.0048790	0.0338112
168	0.38	0.0035514	0.0068610
169	0.38	-0.0185353	0.0397084
170	0.38	0.0062321	0.0011266
171	0.16	-0.0444282	-0.0007958
172	0.16	-0.0137708	0.0243653
173	0.16	-0.0059664	0.0079025
174	0.16	-0.0234103	0.0050596
175	0.16	-0.0097828	0.0266223
176	0.16	0.0098724	0.0088350
177	0.16	-0.0187325	0.0003555
178	0.16	-0.0354947	-0.0147803
179	0.16	-0.0206747	-0.0006388
180	0.16	-0.0204822	0.0217008
181	0.16	-0.0156139	0.0112021
182	0.16	-0.0177282	0.0031440
183	0.16	-0.0007102	-0.0073590
184	0.16	-0.0190315	-0.0000152
185	0.16	-0.0197357	0.0223558
186	0.16	-0.0158655	-0.0008717
187	0.16	-0.0219995	-0.0022071
188	0.16	-0.0327387	-0.0085145
189	0.16	-0.0296061	-0.0255809
190	0.16	-0.0345508	-0.0022617
191	0.16	-0.0405154	0.0059504
192	0.16	-0.0552746	0.0062353
193	0.16	-0.0401182	0.0094320
194	0.16	-0.0502860	0.0289148
195	0.08	-0.0033297	-0.0012040
196	0.08	0.0265927	0.0031621
197	0.08	0.0218694	0.0054589
198	0.08	0.0156976	0.0087934
199	0.08	0.0171832	-0.0005026
200	0.08	-0.0006849	-0.0073954
201	0.43	-0.0046342	0.0010377
202	0.43	-0.0093149	0.0025815
203	0.43	0.0265099	0.0020003
204	0.43	-0.0090008	0.0156479
205	0.43	0.0005160	0.0010241
206	0.43	-0.0072802	0.0110918
207	0.43	0.0064511	0.0393216
208	0.43	-0.0098029	0.0131304
209	0.43	-0.0082153	0.0230900
210	0.43	-0.0023058	0.0004603
211	0.43	-0.0093952	-0.0001075
212	0.43	0.0210919	0.0637286
213	0.43	-0.0028124	-0.0004885
214	0.43	-0.0033871	-0.0084385
215	0.43	-0.0019014	-0.0255282
216	0.43	-0.0043572	0.0139463
217	0.43	0.0014698	0.0091966
218	0.43	0.0115650	-0.0014193
219	0.43	0.0132173	0.0295441
220	0.43	-0.0112260	0.0022041
221	0.02	0.0046382	0.0086165
222	0.02	-0.0035667	-0.0048345
223	0.02	-0.0141653	0.0164118
224	0.02	0.0026282	-0.0042427
225	0.02	0.0145273	-0.0141484
226	0.02	0.0010721	-0.0103913
227	0.02	0.0100326	0.0032954
228	0.02	0.0003440	0.0111180
229	0.02	0.0009173	0.0035723
230	0.02	0.0072451	-0.0043145
231	0.02	-0.0018458	0.0021871
232	0.02	-0.0043260	0.0094295
233	0.02	0.0011455	0.0061379
234	0.02	-0.0004409	-0.0028856
235	0.02	0.0225807	-0.0021074
236	0.02	0.0118037	0.0047521
237	0.02	0.0154335	0.0301353
238	0.08	0.0510590	0.0113334
239	0.08	0.0159830	0.0110944
240	0.08	0.0140057	0.0095756
241	0.08	0.0225317	0.0083355
242	0.08	0.0004172	-0.0149127
243	0.08	0.0013798	-0.0040086
244	0.08	-0.0042675	0.0029274
245	0.07	0.0304172	0.0075119
246	0.07	0.0176834	-0.0034222
247	0.07	0.0219651	0.0006680
248	0.07	0.0122604	0.0218809
249	0.07	0.0015630	-0.0003307
250	0.07	-0.0017114	0.0071427
251	0.43	-0.0053208	-0.0202768
252	0.43	-0.0065766	0.0044830
253	0.43	-0.0250282	0.0068250
254	0.43	-0.0023775	-0.0012497
255	0.07	-0.0045881	0.0042457
256	0.07	-0.0035324	0.0054126
257	0.07	-0.0087347	0.0025320
258	0.07	0.0312326	0.0126144
259	0.07	0.0221584	0.0081359
260	0.07	0.0223754	0.0078016
261	0.07	-0.0053916	0.0038047
262	0.07	-0.0035204	0.0249944
263	0.07	0.0325319	0.0190269
264	0.07	0.0240476	0.0028523
265	0.07	0.0282678	0.0085213
266	0.07	0.0224739	-0.0013549
267	0.07	0.0160328	0.0144568
268	0.07	0.0009162	0.0071537
269	0.07	-0.0026213	0.0093489
270	-0.31	0.0060093	-0.0022750
271	-0.31	-0.0052460	-0.0070818
272	0.05	0.0020694	0.0054124
273	0.05	0.0097645	-0.0121779
274	-0.06	0.0265282	0.0109200
275	-0.06	-0.0012450	-0.0094665
276	-0.06	0.0263108	0.0023233
277	-0.06	-0.0139923	-0.0031817
278	-0.06	-0.0205511	-0.0159487
279	0.08	0.0395171	0.0105238
280	0.08	0.0096228	0.0050486
281	0.08	0.0261464	0.0021146
282	0.08	0.0171752	0.0103471
283	0.08	-0.0009618	-0.0087345
284	0.08	0.0195118	0.0086274
285	0.08	0.0184376	0.0037898
286	0.08	-0.0035751	0.0066309
287	0.08	0.0006635	-0.0007619
288	0.08	0.0066836	-0.0068785
289	0.08	-0.0078011	0.0075316
290	0.08	0.0106018	0.0080273
291	0.08	0.0018077	0.0087116
292	0.08	0.0076425	-0.0000555
293	-0.27	-0.0104421	-0.0076463
294	-0.27	0.0131915	-0.0011411
295	-0.27	-0.0056328	-0.0121992
296	-0.27	-0.0010605	-0.0058511
297	-0.27	0.0044647	0.0090802
298	-0.27	-0.0045093	-0.0076506
299	0.10	0.0128483	0.0201099
300	0.10	0.0403245	0.0353457
301	0.10	0.0453136	0.0038306
302	0.10	0.0272065	0.0246587
303	0.10	0.0238589	0.0335321
304	0.10	0.0374866	0.0225072
305	0.10	0.0049713	0.0173441
306	0.10	-0.0024465	0.0227190
307	0.02	0.0008159	0.0115439
308	0.02	-0.0029548	-0.0047230
309	0.02	0.0001750	-0.0055720
310	0.10	0.0591134	0.0016379
311	0.10	0.0275115	0.0067977
312	0.10	0.0269630	0.0080640
313	0.10	0.0259606	0.0109884
314	0.10	0.0138001	-0.0191429
315	0.10	0.0135828	-0.0041219
316	0.10	0.0134019	0.0017150
317	0.02	-0.0130308	0.0025782
318	0.02	-0.0129209	0.0193447
319	0.02	-0.0198260	0.0046621
320	0.02	-0.0019191	0.0025688
321	0.02	-0.0025416	-0.0022875
322	0.02	-0.0041464	-0.0000271
323	0.02	-0.0044980	0.0036377
324	0.02	-0.0040876	0.0094914
325	0.02	-0.0098847	0.0168177
326	0.02	-0.0484217	-0.0176313
327	0.02	-0.0065710	0.0163830
328	0.02	0.0223652	0.0104755
329	0.02	-0.0199985	0.0164214
330	0.02	-0.0118570	0.0076729
331	0.02	-0.0191990	-0.0043142
332	0.02	0.0001401	0.0090371
333	0.02	-0.0241747	0.0076567
334	0.11	-0.0008629	0.0018157
335	0.11	0.0255500	0.0020960
336	0.11	0.0060604	-0.0006165
337	0.11	0.0186923	0.0064199
338	0.11	0.0018086	0.0037361
339	0.06	-0.0132316	0.0050088
